Dados de Treino. K usado: 14

[[0.37991898 0.54858878 0.28441024 0.25920785 0.71362512 0.06387337]
 [0.39891975 0.71150411 0.73635225 0.19313344 0.81213034 0.23128492]
 [0.23881173 0.52822437 0.29532844 0.13446234 0.509087   0.01985568]
 ...
 [0.16811343 0.41193283 0.29532844 0.12678142 0.42144317 0.04667132]
 [0.31298225 0.11236156 0.3356005  0.42096983 0.34369287 0.09106145]
 [0.47096836 0.38352983 0.35555754 0.43198223 0.38251425 0.029446  ]]
Dados de Teste. K usado: 14

[[0.4455054  0.41032512 0.41050653 0.39376272 0.         0.05384078]
 [0.59346065 0.48088603 0.71433685 0.49916713 0.54694053 0.20435289]
 [0.12104552 0.35709182 0.15213889 0.10993892 0.57081407 0.02907356]
 [0.3748071  0.6100393  0.33067836 0.222469   0.50005377 0.04208566]
 [0.45148534 0.46677385 0.42070879 0.37025726 0.4425207  0.02763035]
 [0.35570988 0.51982851 0.22919277 0.25087914 0.30745241 0.02516294]
 [0.24045139 0.37084673 0.19643816 0.21747177 0.49166577 0.04182961]
 [0.26446759 0.48249375 0.17093252 0.18267629 0.4397247  0.04213222]
 [0.55729167 0.85459093 0.42956864 0.27096058 0.48317023 0.08763966]
 [1.         0.26705966 0.30767854 1.         0.40445209 1.        ]
 [0.49681713 0.51768489 0.71496331 0.38728484 0.56973868 0.16822626]
 [0.29899691 0.41157556 0.25809916 0.25254488 0.47026562 0.03743017]
 [0.39207176 0.37692033 0.51977806 0.35980011 0.13313259 0.12278864]
 [0.34047068 0.5223294  0.28790048 0.23486952 0.59780622 0.01943669]
 [0.20746528 0.35423365 0.20297118 0.19442902 0.3029358  0.04033985]
 [0.29436728 0.35744909 0.26642205 0.27614288 0.25389827 0.07488361]
 [0.04899691 0.4335477  0.01342402 0.00138812 0.53747715 0.02690875]
 [0.49440586 0.64219364 0.44057634 0.32056265 0.52016346 0.24352886]
 [0.07417052 0.20757413 0.20261321 0.14251342 0.5793096  0.02527933]
 [0.54263117 0.64005002 0.56425631 0.36794373 0.50500054 0.17185754]
 [0.66772762 0.56037871 0.72632898 0.52924301 0.20679643 0.15996276]
 [0.57764275 0.80921758 0.30311437 0.31389969 0.55930745 0.1700419 ]
 [0.27440201 0.50089318 0.13746197 0.18267629 0.51898054 0.02232309]
 [0.5550733  0.47909968 0.56479327 0.46326115 0.59576299 0.18701117]
 [0.52565586 0.58753126 0.41972436 0.37886359 0.5379073  0.14788175]
 [0.56761188 0.64594498 0.62063719 0.38885804 0.61114098 0.19175978]
 [0.17525077 0.34101465 0.19778056 0.17036831 0.58113776 0.03836127]
 [0.29330633 0.27706324 0.3452658  0.31676846 0.30863534 0.14376164]
 [0.46161265 0.49428367 0.38822266 0.36563021 0.53909022 0.19930168]
 [0.05729167 0.2418721  0.19688563 0.10855081 0.66867405 0.04066574]
 [0.23804012 0.27884959 0.37855737 0.26272441 0.09592429 0.07937616]
 [0.31471836 0.25401929 0.3520673  0.34934296 0.30562426 0.14581006]
 [0.60252701 0.63665595 0.30034008 0.42717009 0.55575868 0.14634544]
 [0.3675733  0.37602715 0.26758547 0.33675736 0.48725669 0.03959497]
 [0.34712577 0.36638085 0.39377125 0.32213585 0.67964297 0.0372905 ]
 [0.27575231 0.3331547  0.24163236 0.27096058 0.51145284 0.11973929]
 [0.61275077 0.70114327 0.61866834 0.40357209 0.64394021 0.23996741]
 [0.35570988 0.60539478 0.33658493 0.20655192 0.47779331 0.04306331]
 [0.58179012 0.83690604 0.4218722  0.30353507 0.29379503 0.15551676]
 [0.20978009 0.36030725 0.19688563 0.19359615 0.50940961 0.01585196]
 [0.46971451 0.36548767 0.43574369 0.44031094 0.485321   0.10295624]
 [0.41714892 0.45462665 0.55459101 0.3436054  0.36025379 0.02472067]
 [0.46566358 0.85941408 0.12260605 0.18054784 0.40724809 0.03738361]
 [0.08198302 0.25116113 0.25953105 0.12742921 0.57973976 0.01624767]
 [0.61419753 0.52143623 0.68516198 0.49814918 0.32713195 0.03282123]
 [0.13753858 0.09324759 0.15195991 0.26253933 0.52973438 0.01138268]
 [0.38059414 0.53036799 0.43475926 0.26929484 0.5812453  0.01624767]
 [0.06645448 0.11128975 0.04537319 0.18508236 0.54102592 0.04750931]
 [0.39284336 0.56162915 0.31573295 0.26485286 0.46671685 0.02106611]
 [0.09625772 0.52357985 0.1342402  0.         0.48929992 0.01820298]
 [0.1644483  0.46820293 0.18793628 0.09411438 0.58898806 0.01894786]
 [0.44839892 0.45516256 0.48326472 0.37331112 0.50414023 0.08482309]
 [0.49710648 0.49892819 0.45131555 0.39737183 0.481127   0.0884311 ]
 [0.44270833 0.55823508 0.58949347 0.31445493 0.39886009 0.15709963]
 [0.57378472 0.87959986 0.5794702  0.27373681 0.37702979 0.12558194]
 [0.39795525 0.42854591 0.41292286 0.33870072 0.44133778 0.10293296]
 [0.26996528 0.33029653 0.25953105 0.26688877 0.56059791 0.02609404]
 [0.52006173 0.97570561 0.34365491 0.17249676 0.4369287  0.18340317]
 [0.17563657 0.2768846  0.29443351 0.2040533  0.63598236 0.03736034]
 [0.22839506 0.41604144 0.12529085 0.18249121 0.55231745 0.03019088]
 [0.62075617 0.62200786 0.49946304 0.45224875 0.33132595 0.16266294]
 [0.23070988 0.2799214  0.16260963 0.25522858 0.31863641 0.08805866]]

Iteração: 15 :::::::::::::::::
